id,title,date,image,list_price,list_price_2,selling_price,description,active_ingredient,therapeutic_action,distributor_product_id,supplier_product_id,timestamp,category_id,enterprise_supplier_product_id,status
473,OXISOL L.A. ZOOVET X 500 ML,2024-05-12,products/dfv/reduced/prod_262222_red.jpg,0.0,0.0,0.0,Desc. OXISOL L.A. ZOOVET X 500 ML,Oxitetraciclina Clorhidrato 20%,Antibiótico de amplio espectro - Acción prolongada,262222,,2025-08-04 04:02:33.541086+00,2.0,19,1
827,SIMPARICA TRIO H02.5 DORADO,2025-06-18,products/dfv/reduced/prod_2831002_red.jpg,0.0,0.0,0.0,Desc. SIMPARICA TRIO H02.5 DORADO,Principios activos: Sarolaner Moxidectina Pirantel,"Antiparasitario interno y externo. Controla pulgas, garrapatas, áscaris y anquilostomas.",2831002,,2025-08-04 04:02:36.394768+00,1.0,20,1
829,SIMPARICA TRIO H10 CARAMELO,2025-06-18,products/dfv/reduced/prod_2831004_red.jpg,0.0,0.0,0.0,Desc. SIMPARICA TRIO H10 CARAMELO,,,2831004,,2025-08-04 04:02:36.683292+00,1.0,20,1
856,ADVANTIX X 1 PIP H/40,2025-07-12,products/dfv/reduced/prod_20397_red.jpg,0.0,0.0,0.0,Desc. ADVANTIX X 1 PIP H/40,Imidacloprid 10 % Permetrina 50 %,"Antiparasitario externo, Pulguicida, Garrapaticida, Repelente de insectos",20397,,2025-08-04 04:01:50.343599+00,4.0,1598,1
145,PRAGMA  5 MG X 20 COMP,2024-02-16,products/dfv/reduced/prod_240657_red.jpg,0.0,0.0,0.0,Desc. PRAGMA  5 MG X 20 COMP,"Benazepril clorhidrato  2,5 mg
Espironolactona  10 mg
Excipientes c.s.p.  500 mg
Cada comprimido de 1000 mg contiene:
Benazepril clorhidrato  5 mg
Espironolactona  20 mg
Excipientes c.s.p.  1000 mg
Cada comprimido de 2000 mg contiene:
Benazepril clorhidrato  10 mg
Espironolactona  40 mg
Excipientes c.s.p.  2000 mg",Inhibidor de la Enzima Convertidora de Angiotensina I y antagonista de la aldosterona.,240657,,2025-08-04 04:01:59.800698+00,7.0,9,1
17,ECTHOL AMBIENTAL PERROS X 100 ML.,2024-02-01,products/dfv/reduced/prod_120050_red.jpg,0.0,0.0,0.0,Desc. ECTHOL AMBIENTAL PERROS X 100 ML.,Clorpirifós: 7 g. Cipermetrina: 1 g.,"Antiparasit. ext, de acción prolong. para perros y amb.",120050,,2025-08-04 04:00:31.56088+00,4.0,8,1
187,POWER GATO H/8 KG.,2024-02-16,products/dfv/reduced/prod_60291_red.jpg,0.0,0.0,0.0,Desc. POWER GATO H/8 KG.,"Imidacloprid 10 g., Metopreno 4,8 g.",Antiparasitario externo.,60291,,2025-08-04 04:02:43.679715+00,4.0,9,1
107,MV GATOS RENAL X 2 KG.,2024-02-01,products/dfv/reduced/prod_590890_red.jpg,0.0,0.0,0.0,Desc. MV GATOS RENAL X 2 KG.,"Humedad (máx.) 10,00% Proteina bruta (mín.) 16,00% Grasas (mín.) 14,00% Fibras (máx.) 3,00% Materia mineral (máx.) 7,00% Calcio (mín.) 0,45% (máx.) 0,60% Fósforo (mín.) 0,15% (máx.) 0,25% Sodio (máx.) 0,27% Relación Omega 3 / Omega 6 1 - 4",Alimento completo prescripto para gatos con Insuficiencia renal crónica e insuficiencia hepática.,590890,,2025-08-04 04:02:41.111242+00,10.0,8,1
437,ADAPTIL COLLAR LARGE,2024-05-12,products/dfv/reduced/prod_262104_red.jpg,0.0,0.0,0.0,Desc. ADAPTIL COLLAR LARGE,Feromona,Ana?logo de la feromona de apaciguamiento ,262104,,2025-08-04 04:02:30.957684+00,2.0,19,1
157,EUTHANYLE INY. X 15 ML,2024-02-16,products/dfv/reduced/prod_60115_red.jpg,0.0,0.0,0.0,Desc. EUTHANYLE INY. X 15 ML,Pentobarbital sódico 40 %. Difenilhidantoína sód. 5 %,Eutanásico.,60115,,2025-08-04 04:02:41.46218+00,2.0,9,1
598,EUTANASICO EQUINO X 100 CC,2024-09-19,products/dfv/reduced/prod_345020_red.jpg,0.0,0.0,0.0,Desc. EUTANASICO EQUINO X 100 CC,,Solución eutanásica para equinos.,345020,,2025-08-04 04:02:38.665253+00,2.0,707,1
492,VCC X 500 ML (FCO),2024-05-12,enterprises/Integhra-Logo-CEVA.jpg,0.0,0.0,0.0,Desc. VCC X 500 ML (FCO),"Gluconato de Calcio 18%; Cloruro de Magnesio Hexahidrato 5%; Glucosa Anhidra 7%; Cloruro de Sodio 0,9%; Clorfeniramina Maleato 0,01%; Cafeína 0,5%.",Suplemento mineralizante preventivo terapéutico reconstituyente,262286,,2025-08-04 04:00:56.972936+00,2.0,19,1
929,COMFORTIS H/ 9 KG 270MG  X 1 TABL,2025-07-12,products/dfv/reduced/prod_81002_red.jpg,0.0,0.0,0.0,Desc. COMFORTIS H/ 9 KG 270MG  X 1 TABL,Spinosad ,En caninos para la prevención y tratamiento de infestaciones de pulgas (Ctenocephalides felis).,81002,,2025-08-04 04:02:44.099354+00,4.0,1598,1
586,CONVENIA INY. X 10 ML.,2024-05-12,products/dfv/reduced/prod_901850_red.jpg,0.0,0.0,0.0,Desc. CONVENIA INY. X 10 ML.,Cefovecin.,Antibiótico de larga acción.,901850,,2025-08-04 04:02:45.545424+00,2.0,20,1
910,TRIPACK-PROTECH PERROS 25-40 KG,2025-07-12,enterprises/logo.jpg,0.0,0.0,0.0,Desc. TRIPACK-PROTECH PERROS 25-40 KG,"Piriproxifeno, Imidacloprid, Butóxido de piperonilo, Permetrina","Antiparasitario externo contra pulgas, garrapatas y mosquitos.",210156,,2025-08-04 04:00:38.78029+00,4.0,1599,1
101,MV PERRO GASTROINTESTINAL X 10 KG.,2024-02-01,products/dfv/reduced/prod_590666_red.jpg,0.0,0.0,0.0,Desc. MV PERRO GASTROINTESTINAL X 10 KG.,"Humedad (m_x.) 10,00% Proteina bruta (m_n.) 28,00% Grasas (m_n.) 13,00% Fibras (m_x.) 3,00% Materia mineral (m_x.) 7,00% Calcio (m_n.) 0,90% (m_x.) 1,30% F_sforo (m_n.) 0,80% (m_x.) 1,30% Relaci_n Omega 3 / Omega 6 1 - 4",Alimento completo para perros con problemas gastrointestinales.,590666,,2025-08-04 04:02:40.460519+00,10.0,8,1
480,PETS PROTECTOR MAX GATO,2024-05-12,products/dfv/reduced/prod_262250_red.jpg,0.0,0.0,0.0,Desc. PETS PROTECTOR MAX GATO,"Fipronil, Metopreno",Antiparasitario externo pulguicida y garrapaticida,262250,,2025-08-04 04:02:33.760622+00,4.0,19,1
781,ECTHONIL PERROS MAS DE 35 KG,2024-12-23,products/dfv/reduced/prod_1201117_red.jpg,0.0,0.0,0.0,Desc. ECTHONIL PERROS MAS DE 35 KG,Fipronil: 1.00 g.  Imidacloprid: 10.00 g.  Piriproxifen: 1.00 g.  Etofenprox: 10.00 g.  Excipientes: c.s.p,"Antiparasitario externo pulguicida, garrapaticida, repelente y control ambiental. Administración: Más 35 kg: 1 pipeta de 6 ml.",1201117,,2025-08-04 04:01:02.430973+00,1.0,8,1
103,MV PERRO RENAL X  2 KG.,2024-02-01,products/dfv/reduced/prod_590777_red.jpg,0.0,0.0,0.0,Desc. MV PERRO RENAL X  2 KG.,"Humedad (máx.) 10,00% Proteina bruta (mín.) 16,00% Grasas (mín.) 14,00% Fibras (máx.) 3,00% Materia mineral (máx.) 7,00% Calcio (mín.) 0,45% (máx.) 0,60% Fósforo (mín.) 0,15% (máx.) 0,25% Sodio (máx.) 0,27% Relación Omega 3 / Omega 6 1 - 4",Alimento completo prescripto para perros con Insuficiencia renal crónica e insuficiencia hepática.,590777,,2025-08-04 04:02:40.84918+00,10.0,8,1
18,NEOVITA X 21 COMP. (COMP. DIETARIO),2024-02-01,products/dfv/reduced/prod_120049_red.jpg,0.0,0.0,0.0,Desc. NEOVITA X 21 COMP. (COMP. DIETARIO),"L-Arginina clorhidrato 300 mg

Ajo (extracto seco de bulbos) 150 mg

Cúrcuma (extracto seco de rizomas) 100 mg

Espirulina (extracto seco de alga entera) 100 mg

L-Glutamina 100 mg

Vitamina C recubierta 50 mg

Gluconato de Zinc 30 mg

Vitamina A Palmitato 5000 UI

Vitamina E 25 UI","Suplemento dietario en comprimidos palatables,",120049,,2025-08-04 04:00:30.590353+00,2.0,8,1
661,TOLTRAZOL HOSPITALARIO X 15 CS (5BLX3CS),2024-10-29,products/dfv/reduced/prod_261156_red.jpg,0.0,0.0,0.0,Desc. TOLTRAZOL HOSPITALARIO X 15 CS (5BLX3CS),,,261156,,2025-08-04 04:02:22.798828+00,3.0,945,1
587,CONVENIA INY X 4 ML.,2024-05-12,products/dfv/reduced/prod_901851_red.jpg,0.0,0.0,0.0,Desc. CONVENIA INY X 4 ML.,Cefovecin.,Antibiótico de larga acción.,901851,,2025-08-04 04:02:45.601213+00,2.0,20,1
190,FENOBARBITAL P-100 X 30 C PALAT.,2024-02-16,products/dfv/reduced/prod_60471_red.jpg,0.0,0.0,0.0,Desc. FENOBARBITAL P-100 X 30 C PALAT.,Fenobarbital 100 mg / comp,Anticonvulsivante,60471,,2025-08-04 04:02:43.731214+00,2.0,9,1
837,SERESTO ROJO (LARGE) PERROS X 70 CM,2025-07-12,products/dfv/reduced/prod_200108_red.jpg,0.0,0.0,0.0,Desc. SERESTO ROJO (LARGE) PERROS X 70 CM,"Imidacloprid, Flumetrina","Antiparasitario externo contra pulgas, piojos y garrapatas.",200108,,2025-08-04 04:01:49.720412+00,4.0,1598,1
857,AZITROMICINA 200 MG. X  6 COMP.,2025-07-12,products/dfv/reduced/prod_210032_red.jpg,0.0,0.0,0.0,Desc. AZITROMICINA 200 MG. X  6 COMP.,Azitromicina base 200 mg.,Antibiótico.,210032,,2025-08-04 04:01:50.425664+00,2.0,1599,1
495,FULL HEPAT 100MG X 30 COMP,2024-05-12,products/dfv/reduced/prod_262324_red.jpg,0.0,0.0,0.0,Desc. FULL HEPAT 100MG X 30 COMP,"Cada comprimido contiene: Ácido Ursodesoxicólico 100 mg, Silimarina 100 mg, Excipientes c.s.p.1 comprimido (ursomarina)","Indicado en casos en donde sea necesario mejorar la digestión de alimentos, principalmente aquellos ricos en grasas. Favorece la funcionalidad hepática protegiendo la integridad del hepatocito mediante propiedades antioxidantes. En casos donde la funcionalidad hepática se encuentre comprometida, indigestiones, animales obesos, animales que presentan alteraciones en los parámetros bioquímicos del metabolismo de las grasas.",262324,,2025-08-04 04:02:34.552901+00,2.0,19,1
911,TRIPACK-PROTECH GATOS H/2KG.,2025-07-12,enterprises/logo.jpg,0.0,0.0,0.0,Desc. TRIPACK-PROTECH GATOS H/2KG.,"Piriproxifeno, Imidacloprid.","Antiparasitario externo contra pulgas, garrapatas y mosquitos.",210158,,2025-08-04 04:00:38.842149+00,4.0,1599,1
830,SIMPARICA TRIO H20 AZUL,2025-06-18,products/dfv/reduced/prod_2831005_red.jpg,0.0,0.0,0.0,Desc. SIMPARICA TRIO H20 AZUL,Sarolaner Moxidectina Pirantel,"Antiparasitario interno y externo. Controla pulgas, garrapatas, áscaris y anquilostomas.",2831005,,2025-08-04 04:02:36.486595+00,1.0,20,1
